"","region","site","date","start_time","end_time","capture_time","capture_loc","swab_id","detection_type","correct_capture_time"
"22","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",04:35:00,"198","151216_A17","capture",""
"23","El Cope","Guabal","12/16/2015",13:20:00,"16:40:00",04:36:00,"198","151216_A18","capture",""
"24","El Valle","Jordinal","10/27/2012",11:40:00,"13:00:00",11:30:00,"180",NA,"visual",""
"25","El Valle","Jordinal","6/16/2015",12:30:00,"14:13:00",12:27:00,"0","150616_A03","capture",""
"26","El Valle","Jordinal","6/7/2016",12:50:00,"14:55:00",12:48:00,"0","160607_G05","capture",""
"27","El Valle","Jordinal","6/8/2016",09:52:00,"12:07:00",09:50:00,"0","160608_A01","capture",""
"28","El Cope","Las Yayas","6/26/2014",15:35:00,"18:07:00",04:20:00,"waterfall2","140626_05","capture",""
"29","El Cope","Las Yayas","6/26/2014",15:35:00,"18:07:00",04:21:00,"waterfall3","140626_06","capture",""
"30","El Cope","Las Yayas","6/26/2014",15:35:00,"18:07:00",04:25:00,"waterfall4","140626_07","capture",""
"31","El Cope","Las Yayas","6/26/2014",15:35:00,"18:07:00",04:30:00,"waterfall5","140626_08","capture",""
"32","El Valle","Mata Ahogado","12/18/2013",10:01:00,"11:00:00",09:55:00,"80","131218_01","capture",""
"33","El Valle","Mata Ahogado","12/18/2013",10:01:00,"11:00:00",09:56:00,"70","131218_02","capture",""
"34","El Valle","Mata Ahogado","12/18/2013",10:01:00,"11:00:00",09:56:00,"70","131218_03","capture",""
"35","El Valle","Mata Ahogado","12/18/2013",10:01:00,"11:00:00",09:56:00,"70","131218_04","capture",""
"36","El Valle","Mata Ahogado","12/18/2013",10:01:00,"11:00:00",09:58:00,"30","131218_05","capture",""
"37","El Valle","Mata Ahogado","12/20/2013",10:32:00,"12:46:00",10:31:00,"18","131220_01","capture",""
"38","El Valle","Mata Ahogado","6/13/2015",09:15:00,"11:41:00",09:08:00,"90","150613_01","capture",""
"39","El Valle","Mata Ahogado","12/4/2018",16:11:00,"17:25:00",15:10:00,"200",NA,"visual",""
"40","El Valle","Mata Ahogado","12/6/2018",15:02:00,"18:20:00",14:38:00,"63","181206_01","capture",""
"41","El Valle","Mata Ahogado","12/6/2018",15:02:00,"18:20:00",15:01:00,"0","181206_02","capture",""
"42","Caribbean","Miguel de la Borda","7/17/2014",09:36:00,"12:25:00",09:35:00,"0","140717_01","capture",""
"43","Caribbean","Miguel de la Borda","7/27/2016",20:19:00,"23:31:00",20:18:00,"0","160727_A22","capture",""
"44","El Cope","Pena Blanca","6/13/2014",11:55:00,"14:10:00",11:52:00,"95","140613_A01","capture",""
"45","Altos de Campana","Rabbit Stream","5/27/2014",15:45:00,"17:40:00",11:42:00,"35","140527_01","capture",""
"46","Altos de Campana","Rabbit Stream","5/27/2014",11:50:00,"14:45:00",11:42:00,"35","140527_01","capture",""
"47","Altos de Campana","Rabbit Stream","5/27/2014",15:45:00,"17:40:00",12:57:00,"59","140527_02","capture",""
"48","Altos de Campana","Rabbit Stream","5/27/2014",15:45:00,"17:40:00",12:58:00,"21","140527_03","capture",""
"49","Altos de Campana","Rabbit Stream","5/27/2014",15:45:00,"17:40:00",13:05:00,"64","140527_04","capture",""
"50","Altos de Campana","Rabbit Stream","5/27/2014",15:45:00,"17:40:00",13:25:00,"71","140527_05","capture",""
"51","Altos de Campana","Rabbit Stream","5/27/2014",15:45:00,"17:40:00",13:50:00,"130","140527_06","capture",""
"52","Altos de Campana","Rabbit Stream","12/19/2014",10:11:00,"14:39:00",09:20:00,"5","141219_02","capture",""
"53","Altos de Campana","Rabbit Stream","12/19/2014",10:11:00,"14:39:00",09:35:00,"30","141219_03","capture",""
"54","Altos de Campana","Rabbit Stream","12/4/2015",11:30:00,"13:42:00",01:30:00,"190","151204_G02","capture",""
"55","Altos de Campana","Rabbit Stream","12/4/2015",11:30:00,"13:42:00",01:49:00,"170","151204_G03","capture",""
"56","Altos de Campana","Rabbit Stream","12/1/2018",11:06:00,"14:35:00",11:02:00,"1","181201_02","capture",""
"57","Altos de Campana","Rabbit Stream","12/2/2018",20:13:00,"21:46:00",20:10:00,"8","181202_03","capture",""
"58","El Cope","Rio Blanco","12/12/2014",12:40:00,"15:01:00",12:35:00,"200","141212_01","capture",""
"59","El Cope","Rio Blanco","6/28/2015",12:00:00,"14:25:00",10:00:00,"31","150628_01","capture",""
"60","El Cope","Rio Blanco","12/14/2015",09:50:00,"12:03:00",09:23:00,"200","151214_A02","capture",""
"61","El Cope","Rio Blanco","12/16/2015",09:00:00,"10:50:00",08:52:00,"110","151216_A01","capture",""
"62","El Valle","Rio Maria","10/22/2012",11:50:00,"13:30:00",10:50:00,"10",NA,"visual",""
"63","El Valle","Rio Maria","12/18/2013",16:51:00,"17:43:00",16:48:00,"0","131218_10","capture",""
"64","El Valle","Rio Maria","6/17/2015",20:08:00,"22:19:00",19:23:00,"2","150617_14","capture",""
"65","El Valle","Rio Maria","6/17/2015",20:08:00,"22:19:00",19:50:00,"3","150617_15","capture",""
"66","El Valle","Rio Maria","12/7/2015",18:00:00,"21:00:00",09:47:00,"10","151207_A30","capture",""
"67","El Valle","Rio Maria","6/6/2016",13:39:00,"14:30:00",13:30:00,"25","160606_A05","capture",""
"68","El Valle","Rio Maria","6/6/2016",13:39:00,"14:30:00",13:31:00,"25","160606_A06","capture",""
"69","El Valle","Rio Maria","6/8/2016",13:28:00,"14:48:00",13:24:00,"0","160608_A08","capture",""
"70","El Valle","Rio Maria","6/11/2016",19:09:00,"21:47:00",19:02:00,"0","160611_A06","capture",""
"71","El Valle","Rio Maria","6/11/2016",19:09:00,"21:47:00",19:05:00,"10","160611_A07","capture",""
"72","El Cope","Rio Marta","1/13/2016",13:52:00,"15:42:00",13:45:00,"0","160113_01","capture",""
"73","El Cope","Rio Tigrero","11/20/2018",11:30:00,"14:30:00",11:20:00,"10","181120_06","capture",""
"74","El Cope","Rio Tigrero","11/21/2018",12:46:00,"14:50:00",01:45:00,"200","181121_08","capture",""
"75","Caribbean","Sargentita","7/22/2016",11:00:00,"12:45:00",09:42:00,"192","160722_A03","capture",""
"76","Caribbean","Sargentita","7/22/2016",11:00:00,"12:45:00",09:58:00,"145","160722_A04","capture",""
"77","Caribbean","Sargentita","7/22/2016",11:00:00,"12:45:00",10:00:00,"172","160722_A05","capture",""
"78","Caribbean","Sargentita","7/22/2016",11:00:00,"12:45:00",10:05:00,"145","160722_A06","capture",""
"79","Caribbean","Sargentita","7/22/2016",11:00:00,"12:45:00",10:55:00,"136","160722_A07","capture",""
"80","Caribbean","Sargentita","7/22/2016",11:00:00,"12:45:00",10:33:00,"130","160722_A08","capture",""
"81","Caribbean","Sargentita","7/22/2016",11:00:00,"12:45:00",10:40:00,"130","160722_A09","capture",""
"82","El Cope","Sophia Stream","12/9/2014",11:13:00,"17:01:00",11:05:00,"2",NA,"visual",""
"83","El Cope","Sophia Stream","12/16/2015",20:30:00,"22:07:00",20:25:00,"0","151216_A20","capture",""
"84","El Cope","Sophia Stream","11/12/2018",10:30:00,"11:16:00",10:20:00,"25","181112_01","capture",""
"85","El Cope","Sophia Stream","8/6/2019",13:34:00,"14:28:00",13:30:00,"2",NA,"capture",""
